idx,corridor,wbefore,wafter,saved_min,n_improved,demand_min_saved,top,secs
10,번덕마을 → 현대백화점 → 시청,41.8,38.72,3.08,566,986175.0,번덕마을(+43); 일산새마을금고(+41); 포석정(+39),156.6
53,성원상떼빌 → 보람병원입구 → 시청,41.8,38.8,3.0,706,944919.0,성원상떼빌(+30); 염포동(+27); 주전항(+24),157.3
64,남호그린아파트 → 보람병원입구 → 현대백화점정문 → 현대백화점사거리 → 시청,41.81,38.82,2.99,619,954779.0,남호그린아파트(+37); 전하E편한세상(+37); 전하체육센터(+37),162.9
55,신전 → 태화강역 → 보람병원입구 → 현대백화점사거리 → 시청,41.81,38.86,2.95,747,925616.0,신전(+32); 성원상떼빌(+21); 염포동(+21),157.2
68,화진중학교 → 롯데백화점후문 → 시청,41.81,38.93,2.88,633,919952.0,화진중학교(+42); 월봉시장(+40); 월정사입구(+39),166.3
65,대왕암공원입구 → 벽산아파트 → 시청,41.81,39.05,2.77,558,908312.0,벽산아파트(+42); 대왕암공원입구(+41); 평강교회(+41),158.9
3,어음리E편한세상 → 신복교차로 → 좋은삼정병원 → 시청,41.8,39.04,2.76,670,885185.0,언양고등학교(+37); 작천교(+36); 어음리E편한세상(+36),175.5
58,동울산우체국 → 농수산물도매시장 → 보람병원입구 → 야음시장 → 시청,41.8,39.09,2.71,665,859880.0,동울산우체국(+35); 현대중공업일산문(+32); 번덕마을(+31),164.1
14,구.언양버스터미널 → 우신고등학교입구 → 울산대학교후문 → 법원 → 시청,41.8,39.11,2.69,692,882609.0,언양병원(+39); 구.언양버스터미널(+39); 농협중앙회(+39),165.2
87,염포동 → 태화강역 → 시청,41.8,39.11,2.69,660,861928.0,염포동(+31); 성원상떼빌(+24); 신전(+23),164.3
20,해피랜드아파트 → 울산번개시장 → 야음시장 → 시청,41.8,39.14,2.66,579,853173.0,방어동행정복지센터입구(+42); 방어동행정복지센터(+41); 해피랜드아파트(+40),157.5
98,화정주공아파트 → 야음장생포행정복지센터 → 울산번개시장 → 롯데백화점후문 → 시청,41.8,39.15,2.65,628,853962.0,월봉시장(+30); 방어진성당사거리(+30); 동천탕(+30),160.2
17,구.언양버스터미널 → 울산대학교 → 시청,41.8,39.25,2.55,651,834284.0,농협중앙회(+40); 구.언양버스터미널(+40); 언양병원(+40),169.4
